year,t_mean,p_total,phase
1950,9.555,610.1,la_nina
1951,10.114166666666668,515.9,el_nino
1952,9.315,557.1,neutral
1953,9.879166666666666,678.6,el_nino
1954,8.733333333333333,555.2,la_nina
1955,9.8075,655.8,la_nina
1956,9.733333333333333,564.5,la_nina
1957,10.190833333333334,595.8,el_nino
1958,10.273333333333333,546.2,el_nino
1959,8.955833333333333,535.2,neutral
1960,9.1925,576.5,neutral
1961,10.164166666666667,437.1,neutral
1962,9.071666666666667,486.09999999999997,neutral
1963,9.295,537.1,el_nino
1964,10.7475,543.7,la_nina
1965,9.661666666666667,690.1,el_nino
1966,10.619166666666667,542.3,neutral
1967,10.504166666666666,496.2,neutral
1968,9.349166666666667,621.4,el_nino
1969,9.040000000000001,567.8,el_nino
1970,10.485000000000001,592.2,la_nina
1971,10.674999999999999,522.9,la_nina
1972,11.115,594.6,el_nino
1973,11.321666666666665,634.0,la_nina
1974,10.705833333333333,448.1,la_nina
1975,11.19,475.8,la_nina
1976,10.515833333333333,575.0,neutral
1977,10.3025,534.4,el_nino
1978,10.770000000000001,491.4,neutral
1979,10.160833333333333,526.1999999999999,neutral
1980,11.136666666666665,529.4,neutral
1981,11.010833333333332,758.9,neutral
1982,10.434166666666666,513.9,el_nino
1983,10.468333333333334,640.3000000000001,el_nino
1984,11.213333333333333,567.4,neutral
1985,11.67,613.5,la_nina
1986,10.918333333333335,502.4,neutral
1987,11.5,722.7,el_nino
1988,10.477500000000001,675.5,la_nina
1989,11.887500000000001,449.6,neutral
1990,11.210833333333333,657.1,neutral
1991,11.790000000000001,499.3,el_nino
1992,11.451666666666666,633.7,el_nino
1993,10.251666666666667,486.0,neutral
1994,9.570833333333333,489.2,neutral
1995,10.375833333333334,456.2,la_nina
1996,10.36,592.5,neutral
1997,9.895833333333334,579.3000000000001,el_nino
1998,11.439166666666667,464.5,la_nina
1999,10.493333333333334,701.7,la_nina
2000,10.184166666666668,660.0,la_nina
2001,11.6175,591.4,neutral
2002,11.64,543.8,el_nino
2003,10.858333333333334,633.1,neutral
2004,11.945833333333333,751.9000000000001,neutral
2005,10.895833333333334,575.6,neutral
2006,11.026666666666666,412.7,neutral
2007,12.3525,624.2,la_nina
2008,10.49,476.4,la_nina
2009,11.693333333333333,514.6,el_nino
2010,10.809166666666668,570.6,la_nina
2011,11.949166666666668,622.5,la_nina
2012,11.804166666666667,396.7,neutral
2013,11.999166666666667,528.0,neutral
2014,11.134166666666667,535.5,neutral
2015,11.262500000000001,513.9,el_nino
2016,12.299999999999999,585.1,el_nino
2017,11.129166666666668,404.2,neutral
2018,10.969166666666666,669.6,neutral
2019,11.393333333333333,657.2,el_nino
2020,11.800833333333335,686.4,la_nina
2021,11.558333333333335,717.7,la_nina
2022,11.196666666666667,699.3,la_nina
2023,11.526666666666666,600.2,el_nino
2024,12.036666666666667,605.6,neutral
