season,phase,n_months,t_anom_c,p_anom_mm,p_anom_pct,t_pval,p_pval,t_sig,p_sig
DJF,el_nino,65,1.02,10.8,53.8,0.059,0.001,,**
DJF,neutral,64,0.0,-0.0,-0.0,1.0,1.0,,
DJF,la_nina,66,0.1,1.8,8.8,0.845,0.593,,
MAM,el_nino,37,-0.2,6.0,17.5,0.619,0.192,,
MAM,neutral,116,0.0,-0.0,-0.0,1.0,1.0,,
MAM,la_nina,42,-0.66,3.8,11.1,0.09,0.398,,
JJA,el_nino,39,-0.95,0.0,0.0,0.006,0.996,**,
JJA,neutral,115,-0.0,-0.0,-0.0,1.0,1.0,,
JJA,la_nina,41,0.21,9.1,13.9,0.517,0.136,,
SON,el_nino,63,0.36,6.5,14.6,0.312,0.152,,
SON,neutral,71,0.0,0.0,0.0,1.0,1.0,,
SON,la_nina,61,0.69,5.2,11.7,0.058,0.219,,
