year,month,season,oni,phase
1950,1,DJF,-1.53,la_nina
1950,2,JFM,-1.34,la_nina
1950,3,FMA,-1.16,la_nina
1950,4,MAM,-1.18,la_nina
1950,5,AMJ,-1.07,la_nina
1950,6,MJJ,-0.85,la_nina
1950,7,JJA,-0.54,la_nina
1950,8,JAS,-0.42,neutral
1950,9,ASO,-0.39,neutral
1950,10,SON,-0.44,neutral
1950,11,OND,-0.6,la_nina
1950,12,NDJ,-0.8,la_nina
1951,1,DJF,-0.82,la_nina
1951,2,JFM,-0.54,la_nina
1951,3,FMA,-0.17,neutral
1951,4,MAM,0.18,neutral
1951,5,AMJ,0.36,neutral
1951,6,MJJ,0.58,el_nino
1951,7,JJA,0.7,el_nino
1951,8,JAS,0.89,el_nino
1951,9,ASO,0.99,el_nino
1951,10,SON,1.15,el_nino
1951,11,OND,1.04,el_nino
1951,12,NDJ,0.81,el_nino
1952,1,DJF,0.53,el_nino
1952,2,JFM,0.37,neutral
1952,3,FMA,0.34,neutral
1952,4,MAM,0.29,neutral
1952,5,AMJ,0.2,neutral
1952,6,MJJ,0.0,neutral
1952,7,JJA,-0.08,neutral
1952,8,JAS,0.0,neutral
1952,9,ASO,0.15,neutral
1952,10,SON,0.1,neutral
1952,11,OND,0.04,neutral
1952,12,NDJ,0.15,neutral
1953,1,DJF,0.4,neutral
1953,2,JFM,0.6,el_nino
1953,3,FMA,0.63,el_nino
1953,4,MAM,0.66,el_nino
1953,5,AMJ,0.75,el_nino
1953,6,MJJ,0.77,el_nino
1953,7,JJA,0.75,el_nino
1953,8,JAS,0.73,el_nino
1953,9,ASO,0.78,el_nino
1953,10,SON,0.84,el_nino
1953,11,OND,0.84,el_nino
1953,12,NDJ,0.81,el_nino
1954,1,DJF,0.76,el_nino
1954,2,JFM,0.47,neutral
1954,3,FMA,-0.05,neutral
1954,4,MAM,-0.41,neutral
1954,5,AMJ,-0.54,la_nina
1954,6,MJJ,-0.5,la_nina
1954,7,JJA,-0.64,la_nina
1954,8,JAS,-0.84,la_nina
1954,9,ASO,-0.9,la_nina
1954,10,SON,-0.77,la_nina
1954,11,OND,-0.73,la_nina
1954,12,NDJ,-0.66,la_nina
1955,1,DJF,-0.68,la_nina
1955,2,JFM,-0.62,la_nina
1955,3,FMA,-0.69,la_nina
1955,4,MAM,-0.8,la_nina
1955,5,AMJ,-0.79,la_nina
1955,6,MJJ,-0.72,la_nina
1955,7,JJA,-0.68,la_nina
