date,year,month,oni_forecast,oni_ci_lower,oni_ci_upper,phase_forecast
2026-01,2026,1,-0.516,-0.755,-0.276,la_nina
2026-02,2026,2,-0.529,-1.0,-0.059,la_nina
2026-03,2026,3,-0.546,-1.157,0.066,la_nina
2026-04,2026,4,-0.52,-1.237,0.198,la_nina
2026-05,2026,5,-0.51,-1.313,0.293,la_nina
2026-06,2026,6,-0.483,-1.358,0.392,neutral
2026-07,2026,7,-0.416,-1.353,0.521,neutral
2026-08,2026,8,-0.305,-1.296,0.686,neutral
2026-09,2026,9,-0.224,-1.262,0.814,neutral
2026-10,2026,10,-0.223,-1.303,0.857,neutral
2026-11,2026,11,-0.236,-1.353,0.882,neutral
2026-12,2026,12,-0.254,-1.405,0.898,neutral
2027-01,2027,1,-0.258,-1.429,0.913,neutral
2027-02,2027,2,-0.273,-1.456,0.91,neutral
2027-03,2027,3,-0.29,-1.483,0.904,neutral
2027-04,2027,4,-0.275,-1.478,0.929,neutral
2027-05,2027,5,-0.272,-1.485,0.941,neutral
2027-06,2027,6,-0.256,-1.477,0.966,neutral
2027-07,2027,7,-0.21,-1.439,1.02,neutral
2027-08,2027,8,-0.131,-1.367,1.106,neutral
2027-09,2027,9,-0.074,-1.317,1.169,neutral
2027-10,2027,10,-0.077,-1.326,1.173,neutral
2027-11,2027,11,-0.09,-1.344,1.165,neutral
2027-12,2027,12,-0.106,-1.366,1.154,neutral
