year,month,temp_c,precip_mm,oni,phase,warming_trend_c,t_enso_signal,p_enso_signal
1950,1,2.18,41.7,-1.53,la_nina,-0.75,-0.612,-4.59
1950,2,-1.39,23.6,-1.34,la_nina,-0.75,-0.536,-4.02
1950,3,7.11,48.8,-1.16,la_nina,-0.75,-0.232,-9.28
1950,4,4.97,4.4,-1.18,la_nina,-0.75,-0.236,-9.44
1950,5,15.96,51.3,-1.07,la_nina,-0.75,-0.214,-8.56
1950,6,20.53,128.4,-0.85,la_nina,-0.75,0.085,10.2
1950,7,18.25,54.4,-0.54,la_nina,-0.75,0.054,6.48
1950,8,22.0,92.7,-0.42,neutral,-0.75,0.042,5.04
1950,9,14.76,40.8,-0.39,neutral,-0.75,-0.039,0.0
1950,10,11.69,29.3,-0.44,neutral,-0.75,-0.044,0.0
1950,11,3.89,86.6,-0.6,la_nina,-0.75,-0.06,0.0
1950,12,-5.29,8.1,-0.8,la_nina,-0.75,-0.32,-2.4
1951,1,0.32,14.6,-0.82,la_nina,-0.72,-0.328,-2.46
1951,2,-1.53,3.8,-0.54,la_nina,-0.72,-0.216,-1.62
1951,3,4.17,46.8,-0.17,neutral,-0.72,-0.034,-1.36
1951,4,11.89,61.1,0.18,neutral,-0.72,0.036,1.44
1951,5,12.88,47.9,0.36,neutral,-0.72,0.072,2.88
1951,6,17.46,55.2,0.58,el_nino,-0.72,-0.058,-6.96
1951,7,22.13,57.6,0.7,el_nino,-0.72,-0.07,-8.4
1951,8,19.77,54.4,0.89,el_nino,-0.72,-0.089,-10.68
1951,9,17.42,47.1,0.99,el_nino,-0.72,0.099,0.0
1951,10,11.14,39.4,1.15,el_nino,-0.72,0.115,0.0
1951,11,3.67,41.4,1.04,el_nino,-0.72,0.104,0.0
1951,12,2.05,46.6,0.81,el_nino,-0.72,0.324,2.43
1952,1,-6.5,15.2,0.53,el_nino,-0.69,0.212,1.59
1952,2,-1.17,33.5,0.37,neutral,-0.69,0.148,1.11
1952,3,9.72,49.2,0.34,neutral,-0.69,0.068,2.72
1952,4,9.49,65.7,0.29,neutral,-0.69,0.058,2.32
1952,5,17.61,59.1,0.2,neutral,-0.69,0.04,1.6
1952,6,20.44,28.3,0.0,neutral,-0.69,-0.0,-0.0
1952,7,23.16,34.1,-0.08,neutral,-0.69,0.008,0.96
1952,8,20.53,10.1,0.0,neutral,-0.69,-0.0,-0.0
1952,9,16.46,64.1,0.15,neutral,-0.69,0.015,0.0
1952,10,4.81,49.8,0.1,neutral,-0.69,0.01,0.0
1952,11,2.2,62.3,0.04,neutral,-0.69,0.004,0.0
1952,12,-4.97,85.7,0.15,neutral,-0.69,0.06,0.45
1953,1,-2.77,28.7,0.4,neutral,-0.66,0.16,1.2
1953,2,-2.65,47.9,0.6,el_nino,-0.66,0.24,1.8
1953,3,9.26,16.5,0.63,el_nino,-0.66,0.126,5.04
1953,4,9.66,68.8,0.66,el_nino,-0.66,0.132,5.28
1953,5,16.48,40.7,0.75,el_nino,-0.66,0.15,6.0
1953,6,19.09,88.7,0.77,el_nino,-0.66,-0.077,-9.24
1953,7,19.12,63.2,0.75,el_nino,-0.66,-0.075,-9.0
1953,8,21.8,53.4,0.73,el_nino,-0.66,-0.073,-8.76
1953,9,14.57,61.8,0.78,el_nino,-0.66,0.078,0.0
1953,10,8.96,114.8,0.84,el_nino,-0.66,0.084,0.0
1953,11,1.21,58.5,0.84,el_nino,-0.66,0.084,0.0
1953,12,3.82,35.6,0.81,el_nino,-0.66,0.324,2.43
1954,1,-6.05,15.4,0.76,el_nino,-0.63,0.304,2.28
1954,2,-2.49,22.7,0.47,neutral,-0.63,0.188,1.41
1954,3,5.38,37.6,-0.05,neutral,-0.63,-0.01,-0.4
1954,4,11.87,50.1,-0.41,neutral,-0.63,-0.082,-3.28
1954,5,12.46,84.3,-0.54,la_nina,-0.63,-0.108,-4.32
1954,6,17.62,19.8,-0.5,la_nina,-0.63,0.05,6.0
1954,7,21.24,59.4,-0.64,la_nina,-0.63,0.064,7.68
1954,8,19.26,52.5,-0.84,la_nina,-0.63,0.084,10.08
1954,9,17.23,46.5,-0.9,la_nina,-0.63,-0.09,0.0
1954,10,9.43,55.9,-0.77,la_nina,-0.63,-0.077,0.0
1954,11,0.36,52.1,-0.73,la_nina,-0.63,-0.073,0.0
1954,12,-1.51,58.9,-0.66,la_nina,-0.63,-0.264,-1.98
1955,1,-2.32,65.1,-0.68,la_nina,-0.6,-0.272,-2.04
1955,2,1.42,31.1,-0.62,la_nina,-0.6,-0.248,-1.86
1955,3,3.49,9.4,-0.69,la_nina,-0.6,-0.138,-5.52
1955,4,8.54,75.7,-0.8,la_nina,-0.6,-0.16,-6.4
1955,5,16.34,40.6,-0.79,la_nina,-0.6,-0.158,-6.32
1955,6,21.05,9.0,-0.72,la_nina,-0.6,0.072,8.64
1955,7,19.34,58.1,-0.68,la_nina,-0.6,0.068,8.16
1955,8,16.11,121.7,-0.75,la_nina,-0.6,0.075,9.0
1955,9,18.24,34.4,-1.09,la_nina,-0.6,-0.109,0.0
1955,10,9.85,44.9,-1.42,la_nina,-0.6,-0.142,0.0
1955,11,6.56,73.1,-1.67,la_nina,-0.6,-0.167,0.0
1955,12,-0.93,92.7,-1.47,la_nina,-0.6,-0.588,-4.41
1956,1,-5.84,22.7,-1.11,la_nina,-0.57,-0.444,-3.33
1956,2,1.18,33.7,-0.76,la_nina,-0.57,-0.304,-2.28
1956,3,6.83,30.0,-0.63,la_nina,-0.57,-0.126,-5.04
1956,4,12.71,59.8,-0.54,la_nina,-0.57,-0.108,-4.32
1956,5,17.16,60.2,-0.52,la_nina,-0.57,-0.104,-4.16
1956,6,20.77,53.0,-0.51,la_nina,-0.57,0.051,6.12
1956,7,23.09,76.1,-0.57,la_nina,-0.57,0.057,6.84
1956,8,21.33,17.8,-0.55,la_nina,-0.57,0.055,6.6
1956,9,13.14,15.3,-0.46,neutral,-0.57,-0.046,0.0
1956,10,12.88,40.1,-0.42,neutral,-0.57,-0.042,0.0
1956,11,1.47,54.7,-0.43,neutral,-0.57,-0.043,0.0
1956,12,-7.92,101.1,-0.43,neutral,-0.57,-0.172,-1.29
1957,1,2.81,31.2,-0.25,neutral,-0.54,-0.1,-0.75
