oni,season,year,rossby_amplitude,nao_shift,t_anom_nao,t_anom_direct,t_anom_strat,t_anom_total,background_c,t_anom_plus_bg,p_anom_mm,month
-1.53,DJF,1950,-0.9006,0.3602,-0.216,-0.077,-0.065,-0.357,-0.75,-1.107,-3.0,1
-1.34,DJF,1950,-0.7887,0.3155,-0.189,-0.067,-0.057,-0.313,-0.75,-1.063,-2.7,2
-1.16,MAM,1950,-0.3755,0.1502,-0.09,-0.058,-0.005,-0.153,-0.75,-0.903,-5.1,3
-1.18,MAM,1950,-0.382,0.1528,-0.092,-0.059,-0.005,-0.155,-0.75,-0.905,-5.2,4
-1.07,MAM,1950,-0.3464,0.1386,-0.083,-0.054,-0.004,-0.141,-0.75,-0.891,-4.7,5
-0.85,JJA,1950,-0.1251,0.05,-0.03,-0.043,-0.002,-0.074,-0.75,-0.824,2.5,6
-0.54,JJA,1950,-0.0795,0.0318,-0.019,-0.027,-0.001,-0.047,-0.75,-0.797,1.6,7
-0.42,JJA,1950,-0.0618,0.0247,-0.015,-0.021,-0.001,-0.037,-0.75,-0.787,1.3,8
-0.39,SON,1950,-0.1033,0.0413,-0.025,-0.02,-0.001,-0.046,-0.75,-0.796,-0.5,9
-0.44,SON,1950,-0.1165,0.0466,-0.028,-0.022,-0.001,-0.051,-0.75,-0.801,-0.6,10
-0.6,SON,1950,-0.1589,0.0636,-0.038,-0.03,-0.002,-0.07,-0.75,-0.82,-0.8,11
-0.8,DJF,1950,-0.4709,0.1884,-0.113,-0.04,-0.034,-0.187,-0.75,-0.937,-1.6,12
-0.82,DJF,1951,-0.4827,0.1931,-0.116,-0.041,-0.035,-0.192,-0.72,-0.912,-1.6,1
-0.54,DJF,1951,-0.3178,0.1271,-0.076,-0.027,-0.023,-0.126,-0.72,-0.846,-1.1,2
-0.17,MAM,1951,-0.055,0.022,-0.013,-0.009,-0.001,-0.022,-0.72,-0.742,-0.7,3
0.18,MAM,1951,0.0583,-0.0233,0.014,0.009,0.001,0.024,-0.72,-0.696,0.8,4
0.36,MAM,1951,0.1165,-0.0466,0.028,0.018,0.001,0.047,-0.72,-0.673,1.6,5
0.58,JJA,1951,0.0853,-0.0341,0.02,0.029,0.001,0.051,-0.72,-0.669,-1.7,6
0.7,JJA,1951,0.103,-0.0412,0.025,0.035,0.001,0.061,-0.72,-0.659,-2.1,7
0.89,JJA,1951,0.131,-0.0524,0.031,0.045,0.002,0.078,-0.72,-0.642,-2.7,8
0.99,SON,1951,0.2622,-0.1049,0.063,0.05,0.003,0.116,-0.72,-0.604,1.3,9
1.15,SON,1951,0.3046,-0.1218,0.073,0.057,0.004,0.134,-0.72,-0.586,1.6,10
1.04,SON,1951,0.2755,-0.1102,0.066,0.052,0.003,0.121,-0.72,-0.599,1.4,11
0.81,DJF,1951,0.4768,-0.1907,0.114,0.041,0.034,0.189,-0.72,-0.531,1.6,12
0.53,DJF,1952,0.312,-0.1248,0.075,0.027,0.022,0.124,-0.69,-0.566,1.1,1
0.37,DJF,1952,0.2178,-0.0871,0.052,0.018,0.016,0.086,-0.69,-0.604,0.7,2
0.34,MAM,1952,0.1101,-0.044,0.026,0.017,0.001,0.045,-0.69,-0.645,1.5,3
0.29,MAM,1952,0.0939,-0.0376,0.023,0.014,0.001,0.038,-0.69,-0.652,1.3,4
0.2,MAM,1952,0.0647,-0.0259,0.016,0.01,0.001,0.026,-0.69,-0.664,0.9,5
0.0,JJA,1952,0.0,-0.0,0.0,0.0,0.0,0.0,-0.69,-0.69,-0.0,6
-0.08,JJA,1952,-0.0118,0.0047,-0.003,-0.004,-0.0,-0.007,-0.69,-0.697,0.2,7
0.0,JJA,1952,0.0,-0.0,0.0,0.0,0.0,0.0,-0.69,-0.69,-0.0,8
0.15,SON,1952,0.0397,-0.0159,0.01,0.007,0.0,0.018,-0.69,-0.672,0.2,9
0.1,SON,1952,0.0265,-0.0106,0.006,0.005,0.0,0.012,-0.69,-0.678,0.1,10
0.04,SON,1952,0.0106,-0.0042,0.003,0.002,0.0,0.005,-0.69,-0.685,0.1,11
0.15,DJF,1952,0.0883,-0.0353,0.021,0.007,0.006,0.035,-0.69,-0.655,0.3,12
0.4,DJF,1953,0.2354,-0.0942,0.057,0.02,0.017,0.093,-0.66,-0.567,0.8,1
0.6,DJF,1953,0.3532,-0.1413,0.085,0.03,0.025,0.14,-0.66,-0.52,1.2,2
0.63,MAM,1953,0.204,-0.0816,0.049,0.032,0.002,0.083,-0.66,-0.577,2.8,3
0.66,MAM,1953,0.2137,-0.0855,0.051,0.033,0.003,0.087,-0.66,-0.573,2.9,4
0.75,MAM,1953,0.2428,-0.0971,0.058,0.038,0.003,0.099,-0.66,-0.561,3.3,5
0.77,JJA,1953,0.1133,-0.0453,0.027,0.039,0.001,0.067,-0.66,-0.593,-2.3,6
0.75,JJA,1953,0.1104,-0.0441,0.026,0.038,0.001,0.065,-0.66,-0.595,-2.2,7
0.73,JJA,1953,0.1074,-0.043,0.026,0.036,0.001,0.064,-0.66,-0.596,-2.2,8
0.78,SON,1953,0.2066,-0.0826,0.05,0.039,0.002,0.091,-0.66,-0.569,1.1,9
0.84,SON,1953,0.2225,-0.089,0.053,0.042,0.003,0.098,-0.66,-0.562,1.1,10
0.84,SON,1953,0.2225,-0.089,0.053,0.042,0.003,0.098,-0.66,-0.562,1.1,11
0.81,DJF,1953,0.4768,-0.1907,0.114,0.041,0.034,0.189,-0.66,-0.471,1.6,12
0.76,DJF,1954,0.4473,-0.1789,0.107,0.038,0.032,0.178,-0.63,-0.452,1.5,1
0.47,DJF,1954,0.2766,-0.1107,0.066,0.024,0.02,0.11,-0.63,-0.52,0.9,2
-0.05,MAM,1954,-0.0162,0.0065,-0.004,-0.003,-0.0,-0.007,-0.63,-0.637,-0.2,3
-0.41,MAM,1954,-0.1327,0.0531,-0.032,-0.021,-0.002,-0.054,-0.63,-0.684,-1.8,4
-0.54,MAM,1954,-0.1748,0.0699,-0.042,-0.027,-0.002,-0.071,-0.63,-0.701,-2.4,5
-0.5,JJA,1954,-0.0736,0.0294,-0.018,-0.025,-0.001,-0.044,-0.63,-0.674,1.5,6
-0.64,JJA,1954,-0.0942,0.0377,-0.023,-0.032,-0.001,-0.056,-0.63,-0.686,1.9,7
